dteday,season,year,month,hour,holiday,weekday,workingday,weathersit,casual,registered,total_rentals,time_of_day
2011-01-02,Spring,0,Januari,15,No,Sunday,No,Light rain,19,55,74,Afternoon
2011-01-02,Spring,0,Januari,16,No,Sunday,No,Light rain,9,67,76,Afternoon
2011-01-02,Spring,0,Januari,17,No,Sunday,No,Clear,7,58,65,Afternoon
2011-01-02,Spring,0,Januari,18,No,Sunday,No,Mist,10,43,53,Evening
2011-01-02,Spring,0,Januari,19,No,Sunday,No,Clear,1,29,30,Evening
2011-01-02,Spring,0,Januari,20,No,Sunday,No,Clear,5,17,22,Evening
2011-01-02,Spring,0,Januari,21,No,Sunday,No,Clear,11,20,31,Evening
2011-01-02,Spring,0,Januari,22,No,Sunday,No,Clear,0,9,9,Evening
2011-01-02,Spring,0,Januari,23,No,Sunday,No,Clear,0,8,8,Evening
2011-01-03,Spring,0,Januari,0,No,Monday,Yes,Clear,0,5,5,Night
2011-01-03,Spring,0,Januari,1,No,Monday,Yes,Clear,0,2,2,Night
2011-01-03,Spring,0,Januari,4,No,Monday,Yes,Clear,0,1,1,Night
2011-01-03,Spring,0,Januari,5,No,Monday,Yes,Clear,0,3,3,Night
2011-01-03,Spring,0,Januari,6,No,Monday,Yes,Clear,0,30,30,Morning
2011-01-03,Spring,0,Januari,7,No,Monday,Yes,Clear,1,63,64,Morning
2011-01-03,Spring,0,Januari,8,No,Monday,Yes,Clear,1,153,154,Morning
2011-01-03,Spring,0,Januari,9,No,Monday,Yes,Clear,7,81,88,Morning
2011-01-03,Spring,0,Januari,10,No,Monday,Yes,Clear,11,33,44,Morning
2011-01-03,Spring,0,Januari,11,No,Monday,Yes,Clear,10,41,51,Morning
2011-01-03,Spring,0,Januari,12,No,Monday,Yes,Clear,13,48,61,Afternoon
2011-01-03,Spring,0,Januari,13,No,Monday,Yes,Clear,8,53,61,Afternoon
2011-01-03,Spring,0,Januari,14,No,Monday,Yes,Clear,11,66,77,Afternoon
2011-01-03,Spring,0,Januari,15,No,Monday,Yes,Clear,14,58,72,Afternoon
2011-01-03,Spring,0,Januari,16,No,Monday,Yes,Clear,9,67,76,Afternoon
2011-01-03,Spring,0,Januari,17,No,Monday,Yes,Clear,11,146,157,Afternoon
2011-01-03,Spring,0,Januari,18,No,Monday,Yes,Clear,9,148,157,Evening
2011-01-03,Spring,0,Januari,19,No,Monday,Yes,Clear,8,102,110,Evening
2011-01-03,Spring,0,Januari,20,No,Monday,Yes,Clear,3,49,52,Evening
2011-01-03,Spring,0,Januari,21,No,Monday,Yes,Clear,3,49,52,Evening
2011-01-03,Spring,0,Januari,22,No,Monday,Yes,Clear,0,20,20,Evening
2011-01-03,Spring,0,Januari,23,No,Monday,Yes,Clear,1,11,12,Evening
2011-01-04,Spring,0,Januari,0,No,Tuesday,Yes,Clear,0,5,5,Night
2011-01-04,Spring,0,Januari,1,No,Tuesday,Yes,Clear,0,2,2,Night
2011-01-04,Spring,0,Januari,2,No,Tuesday,Yes,Clear,0,1,1,Night
2011-01-04,Spring,0,Januari,4,No,Tuesday,Yes,Clear,0,2,2,Night
2011-01-04,Spring,0,Januari,5,No,Tuesday,Yes,Clear,0,4,4,Night
2011-01-04,Spring,0,Januari,6,No,Tuesday,Yes,Clear,0,36,36,Morning
2011-01-04,Spring,0,Januari,7,No,Tuesday,Yes,Clear,2,92,94,Morning
2011-01-04,Spring,0,Januari,8,No,Tuesday,Yes,Clear,2,177,179,Morning
2011-01-04,Spring,0,Januari,9,No,Tuesday,Yes,Clear,2,98,100,Morning
2011-01-04,Spring,0,Januari,10,No,Tuesday,Yes,Mist,5,37,42,Morning
2011-01-04,Spring,0,Januari,11,No,Tuesday,Yes,Clear,7,50,57,Morning
2011-01-04,Spring,0,Januari,12,No,Tuesday,Yes,Clear,12,66,78,Afternoon
2011-01-04,Spring,0,Januari,13,No,Tuesday,Yes,Clear,18,79,97,Afternoon
2011-01-04,Spring,0,Januari,14,No,Tuesday,Yes,Clear,9,54,63,Afternoon
2011-01-04,Spring,0,Januari,15,No,Tuesday,Yes,Clear,17,48,65,Afternoon
2011-01-04,Spring,0,Januari,16,No,Tuesday,Yes,Clear,15,68,83,Afternoon
2011-01-04,Spring,0,Januari,17,No,Tuesday,Yes,Clear,10,202,212,Afternoon
2011-01-04,Spring,0,Januari,18,No,Tuesday,Yes,Clear,3,179,182,Evening
2011-01-04,Spring,0,Januari,19,No,Tuesday,Yes,Clear,2,110,112,Evening
2011-01-04,Spring,0,Januari,20,No,Tuesday,Yes,Clear,1,53,54,Evening
2011-01-04,Spring,0,Januari,21,No,Tuesday,Yes,Clear,0,48,48,Evening
2011-01-04,Spring,0,Januari,22,No,Tuesday,Yes,Clear,1,34,35,Evening
2011-01-04,Spring,0,Januari,23,No,Tuesday,Yes,Clear,2,9,11,Evening
2011-01-05,Spring,0,Januari,0,No,Wednesday,Yes,Clear,0,6,6,Night
2011-01-05,Spring,0,Januari,1,No,Wednesday,Yes,Clear,0,6,6,Night
2011-01-05,Spring,0,Januari,2,No,Wednesday,Yes,Clear,0,2,2,Night
2011-01-05,Spring,0,Januari,4,No,Wednesday,Yes,Clear,0,2,2,Night
2011-01-05,Spring,0,Januari,5,No,Wednesday,Yes,Clear,0,3,3,Night
2011-01-05,Spring,0,Januari,6,No,Wednesday,Yes,Clear,0,33,33,Morning
2011-01-05,Spring,0,Januari,7,No,Wednesday,Yes,Clear,1,87,88,Morning
2011-01-05,Spring,0,Januari,8,No,Wednesday,Yes,Clear,3,192,195,Morning
2011-01-05,Spring,0,Januari,9,No,Wednesday,Yes,Clear,6,109,115,Morning
2011-01-05,Spring,0,Januari,10,No,Wednesday,Yes,Clear,4,53,57,Morning
2011-01-05,Spring,0,Januari,11,No,Wednesday,Yes,Clear,12,34,46,Morning
2011-01-05,Spring,0,Januari,12,No,Wednesday,Yes,Clear,5,74,79,Afternoon
2011-01-05,Spring,0,Januari,13,No,Wednesday,Yes,Clear,6,65,71,Afternoon
2011-01-05,Spring,0,Januari,14,No,Wednesday,Yes,Clear,10,52,62,Afternoon
2011-01-05,Spring,0,Januari,15,No,Wednesday,Yes,Clear,7,55,62,Afternoon
2011-01-05,Spring,0,Januari,16,No,Wednesday,Yes,Clear,4,85,89,Afternoon
2011-01-05,Spring,0,Januari,17,No,Wednesday,Yes,Clear,4,186,190,Afternoon
2011-01-05,Spring,0,Januari,18,No,Wednesday,Yes,Clear,3,166,169,Evening
2011-01-05,Spring,0,Januari,19,No,Wednesday,Yes,Clear,5,127,132,Evening
2011-01-05,Spring,0,Januari,20,No,Wednesday,Yes,Clear,7,82,89,Evening
2011-01-05,Spring,0,Januari,21,No,Wednesday,Yes,Clear,3,40,43,Evening
2011-01-05,Spring,0,Januari,22,No,Wednesday,Yes,Clear,1,41,42,Evening
2011-01-05,Spring,0,Januari,23,No,Wednesday,Yes,Clear,1,18,19,Evening
2011-01-06,Spring,0,Januari,0,No,Thursday,Yes,Clear,0,11,11,Night
2011-01-06,Spring,0,Januari,1,No,Thursday,Yes,Clear,0,4,4,Night
2011-01-06,Spring,0,Januari,2,No,Thursday,Yes,Clear,0,2,2,Night
2011-01-06,Spring,0,Januari,4,No,Thursday,Yes,Mist,0,1,1,Night
2011-01-06,Spring,0,Januari,5,No,Thursday,Yes,Mist,0,4,4,Night
2011-01-06,Spring,0,Januari,6,No,Thursday,Yes,Mist,0,36,36,Morning
2011-01-06,Spring,0,Januari,7,No,Thursday,Yes,Mist,0,95,95,Morning
2011-01-06,Spring,0,Januari,8,No,Thursday,Yes,Clear,3,216,219,Morning
2011-01-06,Spring,0,Januari,9,No,Thursday,Yes,Mist,6,116,122,Morning
2011-01-06,Spring,0,Januari,10,No,Thursday,Yes,Clear,3,42,45,Morning
2011-01-06,Spring,0,Januari,11,No,Thursday,Yes,Clear,2,57,59,Morning
2011-01-06,Spring,0,Januari,12,No,Thursday,Yes,Clear,6,78,84,Afternoon
2011-01-06,Spring,0,Januari,13,No,Thursday,Yes,Clear,12,55,67,Afternoon
2011-01-06,Spring,0,Januari,14,No,Thursday,Yes,Clear,11,59,70,Afternoon
2011-01-06,Spring,0,Januari,15,No,Thursday,Yes,Clear,8,54,62,Afternoon
2011-01-06,Spring,0,Januari,16,No,Thursday,Yes,Clear,12,74,86,Afternoon
2011-01-06,Spring,0,Januari,17,No,Thursday,Yes,Clear,9,163,172,Afternoon
2011-01-06,Spring,0,Januari,18,No,Thursday,Yes,Clear,5,158,163,Evening
2011-01-06,Spring,0,Januari,19,No,Thursday,Yes,Clear,3,109,112,Evening
2011-01-06,Spring,0,Januari,20,No,Thursday,Yes,Clear,3,66,69,Evening
2011-01-06,Spring,0,Januari,21,No,Thursday,Yes,Mist,0,48,48,Evening
2011-01-06,Spring,0,Januari,22,No,Thursday,Yes,Mist,1,51,52,Evening
2011-01-06,Spring,0,Januari,23,No,Thursday,Yes,Mist,4,19,23,Evening
2011-01-07,Spring,0,Januari,0,No,Friday,Yes,Mist,4,13,17,Night
2011-01-07,Spring,0,Januari,1,No,Friday,Yes,Mist,2,5,7,Night
2011-01-07,Spring,0,Januari,2,No,Friday,Yes,Mist,0,1,1,Night
2011-01-07,Spring,0,Januari,4,No,Friday,Yes,Mist,0,1,1,Night
2011-01-07,Spring,0,Januari,5,No,Friday,Yes,Light rain,0,5,5,Night
2011-01-07,Spring,0,Januari,6,No,Friday,Yes,Mist,8,26,34,Morning
2011-01-07,Spring,0,Januari,7,No,Friday,Yes,Clear,8,76,84,Morning
2011-01-07,Spring,0,Januari,8,No,Friday,Yes,Clear,20,190,210,Morning
2011-01-07,Spring,0,Januari,9,No,Friday,Yes,Clear,9,125,134,Morning
2011-01-07,Spring,0,Januari,10,No,Friday,Yes,Clear,16,47,63,Morning
2011-01-07,Spring,0,Januari,11,No,Friday,Yes,Mist,19,48,67,Morning
2011-01-07,Spring,0,Januari,12,No,Friday,Yes,Mist,9,50,59,Afternoon
2011-01-07,Spring,0,Januari,13,No,Friday,Yes,Mist,9,64,73,Afternoon
2011-01-07,Spring,0,Januari,14,No,Friday,Yes,Mist,7,43,50,Afternoon
2011-01-07,Spring,0,Januari,15,No,Friday,Yes,Mist,9,63,72,Afternoon
2011-01-07,Spring,0,Januari,16,No,Friday,Yes,Mist,5,82,87,Afternoon
2011-01-07,Spring,0,Januari,17,No,Friday,Yes,Mist,9,178,187,Afternoon
2011-01-07,Spring,0,Januari,18,No,Friday,Yes,Clear,7,116,123,Evening
2011-01-07,Spring,0,Januari,19,No,Friday,Yes,Clear,3,92,95,Evening
2011-01-07,Spring,0,Januari,20,No,Friday,Yes,Clear,1,50,51,Evening
2011-01-07,Spring,0,Januari,21,No,Friday,Yes,Clear,0,39,39,Evening
2011-01-07,Spring,0,Januari,22,No,Friday,Yes,Mist,2,34,36,Evening
2011-01-07,Spring,0,Januari,23,No,Friday,Yes,Mist,1,14,15,Evening
2011-01-08,Spring,0,Januari,0,No,Saturday,No,Mist,1,24,25,Night
2011-01-08,Spring,0,Januari,1,No,Saturday,No,Mist,1,15,16,Night
2011-01-08,Spring,0,Januari,2,No,Saturday,No,Mist,3,13,16,Night
2011-01-08,Spring,0,Januari,3,No,Saturday,No,Light rain,0,7,7,Night
2011-01-08,Spring,0,Januari,4,No,Saturday,No,Light rain,0,1,1,Night
2011-01-08,Spring,0,Januari,5,No,Saturday,No,Mist,0,5,5,Night
2011-01-08,Spring,0,Januari,6,No,Saturday,No,Mist,0,2,2,Morning
2011-01-08,Spring,0,Januari,7,No,Saturday,No,Mist,1,8,9,Morning
2011-01-08,Spring,0,Januari,8,No,Saturday,No,Light rain,0,15,15,Morning
2011-01-08,Spring,0,Januari,9,No,Saturday,No,Light rain,0,20,20,Morning
2011-01-08,Spring,0,Januari,10,No,Saturday,No,Mist,5,56,61,Morning
2011-01-08,Spring,0,Januari,11,No,Saturday,No,Mist,2,60,62,Morning
2011-01-08,Spring,0,Januari,12,No,Saturday,No,Mist,8,90,98,Afternoon
2011-01-08,Spring,0,Januari,13,No,Saturday,No,Clear,7,95,102,Afternoon
2011-01-08,Spring,0,Januari,14,No,Saturday,No,Clear,12,83,95,Afternoon
2011-01-08,Spring,0,Januari,15,No,Saturday,No,Clear,5,69,74,Afternoon
2011-01-08,Spring,0,Januari,16,No,Saturday,No,Clear,8,68,76,Afternoon
2011-01-08,Spring,0,Januari,17,No,Saturday,No,Clear,5,64,69,Afternoon
2011-01-08,Spring,0,Januari,18,No,Saturday,No,Clear,3,52,55,Evening
2011-01-08,Spring,0,Januari,19,No,Saturday,No,Clear,4,26,30,Evening
2011-01-08,Spring,0,Januari,20,No,Saturday,No,Clear,0,28,28,Evening
2011-01-08,Spring,0,Januari,21,No,Saturday,No,Clear,2,35,37,Evening
2011-01-08,Spring,0,Januari,22,No,Saturday,No,Clear,1,33,34,Evening
2011-01-08,Spring,0,Januari,23,No,Saturday,No,Clear,0,22,22,Evening
2011-01-09,Spring,0,Januari,0,No,Sunday,No,Clear,1,24,25,Night
2011-01-09,Spring,0,Januari,1,No,Sunday,No,Clear,0,12,12,Night
2011-01-09,Spring,0,Januari,2,No,Sunday,No,Clear,0,11,11,Night
2011-01-09,Spring,0,Januari,3,No,Sunday,No,Clear,0,4,4,Night
2011-01-09,Spring,0,Januari,4,No,Sunday,No,Clear,0,1,1,Night
2011-01-09,Spring,0,Januari,5,No,Sunday,No,Clear,0,1,1,Night
2011-01-09,Spring,0,Januari,6,No,Sunday,No,Clear,0,1,1,Morning
2011-01-09,Spring,0,Januari,7,No,Sunday,No,Clear,1,5,6,Morning
2011-01-09,Spring,0,Januari,8,No,Sunday,No,Clear,0,10,10,Morning
2011-01-09,Spring,0,Januari,9,No,Sunday,No,Clear,0,19,19,Morning
2011-01-09,Spring,0,Januari,10,No,Sunday,No,Clear,0,49,49,Morning
2011-01-09,Spring,0,Januari,11,No,Sunday,No,Clear,2,47,49,Morning
2011-01-09,Spring,0,Januari,12,No,Sunday,No,Clear,4,79,83,Afternoon
2011-01-09,Spring,0,Januari,13,No,Sunday,No,Clear,6,69,75,Afternoon
2011-01-09,Spring,0,Januari,14,No,Sunday,No,Clear,8,64,72,Afternoon
2011-01-09,Spring,0,Januari,15,No,Sunday,No,Clear,5,77,82,Afternoon
2011-01-09,Spring,0,Januari,16,No,Sunday,No,Clear,13,79,92,Afternoon
2011-01-09,Spring,0,Januari,17,No,Sunday,No,Clear,3,59,62,Afternoon
2011-01-09,Spring,0,Januari,18,No,Sunday,No,Clear,4,44,48,Evening
2011-01-09,Spring,0,Januari,19,No,Sunday,No,Clear,1,40,41,Evening
2011-01-09,Spring,0,Januari,20,No,Sunday,No,Clear,0,38,38,Evening
2011-01-09,Spring,0,Januari,21,No,Sunday,No,Clear,1,19,20,Evening
2011-01-09,Spring,0,Januari,22,No,Sunday,No,Clear,5,10,15,Evening
2011-01-09,Spring,0,Januari,23,No,Sunday,No,Clear,0,6,6,Evening
2011-01-10,Spring,0,Januari,0,No,Monday,Yes,Clear,2,3,5,Night
2011-01-10,Spring,0,Januari,1,No,Monday,Yes,Clear,1,0,1,Night
2011-01-10,Spring,0,Januari,2,No,Monday,Yes,Clear,0,3,3,Night
2011-01-10,Spring,0,Januari,3,No,Monday,Yes,Clear,0,1,1,Night
2011-01-10,Spring,0,Januari,4,No,Monday,Yes,Clear,1,2,3,Night
2011-01-10,Spring,0,Januari,5,No,Monday,Yes,Clear,0,3,3,Night
2011-01-10,Spring,0,Januari,6,No,Monday,Yes,Clear,0,31,31,Morning
2011-01-10,Spring,0,Januari,7,No,Monday,Yes,Clear,2,75,77,Morning
2011-01-10,Spring,0,Januari,8,No,Monday,Yes,Mist,4,184,188,Morning
2011-01-10,Spring,0,Januari,9,No,Monday,Yes,Mist,2,92,94,Morning
2011-01-10,Spring,0,Januari,10,No,Monday,Yes,Mist,0,31,31,Morning
2011-01-10,Spring,0,Januari,11,No,Monday,Yes,Mist,2,28,30,Morning
2011-01-10,Spring,0,Januari,12,No,Monday,Yes,Mist,5,47,52,Afternoon
2011-01-10,Spring,0,Januari,13,No,Monday,Yes,Mist,4,50,54,Afternoon
2011-01-10,Spring,0,Januari,14,No,Monday,Yes,Mist,0,47,47,Afternoon
2011-01-10,Spring,0,Januari,15,No,Monday,Yes,Mist,2,43,45,Afternoon
2011-01-10,Spring,0,Januari,16,No,Monday,Yes,Clear,4,70,74,Afternoon
2011-01-10,Spring,0,Januari,17,No,Monday,Yes,Clear,4,174,178,Afternoon
2011-01-10,Spring,0,Januari,18,No,Monday,Yes,Clear,1,154,155,Evening
2011-01-10,Spring,0,Januari,19,No,Monday,Yes,Clear,3,92,95,Evening
2011-01-10,Spring,0,Januari,20,No,Monday,Yes,Clear,1,73,74,Evening
2011-01-10,Spring,0,Januari,21,No,Monday,Yes,Clear,1,37,38,Evening
2011-01-10,Spring,0,Januari,22,No,Monday,Yes,Clear,2,22,24,Evening
2011-01-10,Spring,0,Januari,23,No,Monday,Yes,Clear,0,18,18,Evening
2011-01-11,Spring,0,Januari,0,No,Tuesday,Yes,Clear,2,10,12,Night
2011-01-11,Spring,0,Januari,1,No,Tuesday,Yes,Clear,0,3,3,Night
2011-01-11,Spring,0,Januari,2,No,Tuesday,Yes,Mist,0,3,3,Night
2011-01-11,Spring,0,Januari,5,No,Tuesday,Yes,Mist,0,6,6,Night
2011-01-11,Spring,0,Januari,6,No,Tuesday,Yes,Mist,0,27,27,Morning
2011-01-11,Spring,0,Januari,7,No,Tuesday,Yes,Mist,2,97,99,Morning
2011-01-11,Spring,0,Januari,8,No,Tuesday,Yes,Mist,3,214,217,Morning
2011-01-11,Spring,0,Januari,9,No,Tuesday,Yes,Mist,3,127,130,Morning
2011-01-11,Spring,0,Januari,10,No,Tuesday,Yes,Mist,3,51,54,Morning
2011-01-11,Spring,0,Januari,11,No,Tuesday,Yes,Mist,4,31,35,Morning
2011-01-11,Spring,0,Januari,12,No,Tuesday,Yes,Mist,2,55,57,Afternoon
2011-01-11,Spring,0,Januari,13,No,Tuesday,Yes,Mist,6,46,52,Afternoon
2011-01-11,Spring,0,Januari,14,No,Tuesday,Yes,Mist,3,60,63,Afternoon
2011-01-11,Spring,0,Januari,15,No,Tuesday,Yes,Mist,2,45,47,Afternoon
2011-01-11,Spring,0,Januari,16,No,Tuesday,Yes,Mist,4,72,76,Afternoon
2011-01-11,Spring,0,Januari,17,No,Tuesday,Yes,Mist,6,130,136,Afternoon
2011-01-11,Spring,0,Januari,18,No,Tuesday,Yes,Light rain,1,94,95,Evening
2011-01-11,Spring,0,Januari,19,No,Tuesday,Yes,Light rain,0,51,51,Evening
2011-01-11,Spring,0,Januari,20,No,Tuesday,Yes,Light rain,0,32,32,Evening
2011-01-11,Spring,0,Januari,21,No,Tuesday,Yes,Light rain,0,20,20,Evening
2011-01-11,Spring,0,Januari,22,No,Tuesday,Yes,Light rain,1,28,29,Evening
2011-01-11,Spring,0,Januari,23,No,Tuesday,Yes,Light rain,1,18,19,Evening
2011-01-12,Spring,0,Januari,0,No,Wednesday,Yes,Mist,0,7,7,Night
2011-01-12,Spring,0,Januari,1,No,Wednesday,Yes,Mist,0,6,6,Night
2011-01-12,Spring,0,Januari,2,No,Wednesday,Yes,Clear,0,1,1,Night
2011-01-12,Spring,0,Januari,5,No,Wednesday,Yes,Clear,0,5,5,Night
2011-01-12,Spring,0,Januari,6,No,Wednesday,Yes,Clear,0,16,16,Morning
2011-01-12,Spring,0,Januari,7,No,Wednesday,Yes,Clear,0,54,54,Morning
2011-01-12,Spring,0,Januari,8,No,Wednesday,Yes,Clear,3,125,128,Morning
2011-01-12,Spring,0,Januari,9,No,Wednesday,Yes,Clear,3,78,81,Morning
2011-01-12,Spring,0,Januari,10,No,Wednesday,Yes,Clear,0,39,39,Morning
2011-01-12,Spring,0,Januari,11,No,Wednesday,Yes,Clear,3,32,35,Morning
2011-01-12,Spring,0,Januari,12,No,Wednesday,Yes,Clear,3,52,55,Afternoon
2011-01-12,Spring,0,Januari,13,No,Wednesday,Yes,Clear,0,49,49,Afternoon
2011-01-12,Spring,0,Januari,14,No,Wednesday,Yes,Clear,0,44,44,Afternoon
2011-01-12,Spring,0,Januari,15,No,Wednesday,Yes,Clear,1,48,49,Afternoon
2011-01-12,Spring,0,Januari,16,No,Wednesday,Yes,Clear,5,63,68,Afternoon
2011-01-12,Spring,0,Januari,17,No,Wednesday,Yes,Clear,0,139,139,Afternoon
2011-01-12,Spring,0,Januari,18,No,Wednesday,Yes,Clear,2,135,137,Evening
2011-01-12,Spring,0,Januari,19,No,Wednesday,Yes,Clear,1,82,83,Evening
2011-01-12,Spring,0,Januari,20,No,Wednesday,Yes,Clear,2,54,56,Evening
2011-01-12,Spring,0,Januari,21,No,Wednesday,Yes,Clear,0,57,57,Evening
2011-01-12,Spring,0,Januari,22,No,Wednesday,Yes,Clear,1,32,33,Evening
2011-01-12,Spring,0,Januari,23,No,Wednesday,Yes,Clear,1,19,20,Evening
2011-01-13,Spring,0,Januari,0,No,Thursday,Yes,Clear,1,6,7,Night
2011-01-13,Spring,0,Januari,1,No,Thursday,Yes,Clear,0,2,2,Night
2011-01-13,Spring,0,Januari,2,No,Thursday,Yes,Clear,0,2,2,Night
2011-01-13,Spring,0,Januari,3,No,Thursday,Yes,Clear,0,3,3,Night
2011-01-13,Spring,0,Januari,4,No,Thursday,Yes,Clear,0,4,4,Night
2011-01-13,Spring,0,Januari,5,No,Thursday,Yes,Clear,0,3,3,Night
2011-01-13,Spring,0,Januari,6,No,Thursday,Yes,Clear,0,28,28,Morning
2011-01-13,Spring,0,Januari,7,No,Thursday,Yes,Clear,0,72,72,Morning
2011-01-13,Spring,0,Januari,8,No,Thursday,Yes,Clear,5,197,202,Morning
2011-01-13,Spring,0,Januari,9,No,Thursday,Yes,Clear,2,137,139,Morning
2011-01-13,Spring,0,Januari,10,No,Thursday,Yes,Mist,2,36,38,Morning
2011-01-13,Spring,0,Januari,11,No,Thursday,Yes,Mist,4,33,37,Morning
2011-01-13,Spring,0,Januari,12,No,Thursday,Yes,Clear,3,49,52,Afternoon
2011-01-13,Spring,0,Januari,13,No,Thursday,Yes,Clear,2,81,83,Afternoon
2011-01-13,Spring,0,Januari,14,No,Thursday,Yes,Clear,3,39,42,Afternoon
2011-01-13,Spring,0,Januari,15,No,Thursday,Yes,Clear,5,55,60,Afternoon
2011-01-13,Spring,0,Januari,16,No,Thursday,Yes,Clear,2,76,78,Afternoon
2011-01-13,Spring,0,Januari,17,No,Thursday,Yes,Clear,4,158,162,Afternoon
2011-01-13,Spring,0,Januari,18,No,Thursday,Yes,Clear,3,141,144,Evening
2011-01-13,Spring,0,Januari,19,No,Thursday,Yes,Clear,1,98,99,Evening
2011-01-13,Spring,0,Januari,20,No,Thursday,Yes,Clear,0,64,64,Evening
2011-01-13,Spring,0,Januari,21,No,Thursday,Yes,Clear,0,40,40,Evening
2011-01-13,Spring,0,Januari,22,No,Thursday,Yes,Clear,0,30,30,Evening
2011-01-13,Spring,0,Januari,23,No,Thursday,Yes,Clear,1,14,15,Evening
2011-01-14,Spring,0,Januari,0,No,Friday,Yes,Clear,0,14,14,Night
2011-01-14,Spring,0,Januari,1,No,Friday,Yes,Clear,0,5,5,Night
2011-01-14,Spring,0,Januari,2,No,Friday,Yes,Clear,0,1,1,Night
2011-01-14,Spring,0,Januari,3,No,Friday,Yes,Clear,0,1,1,Night
2011-01-14,Spring,0,Januari,5,No,Friday,Yes,Clear,0,8,8,Night
2011-01-14,Spring,0,Januari,6,No,Friday,Yes,Clear,0,17,17,Morning
2011-01-14,Spring,0,Januari,7,No,Friday,Yes,Clear,0,70,70,Morning
2011-01-14,Spring,0,Januari,8,No,Friday,Yes,Clear,2,156,158,Morning
2011-01-14,Spring,0,Januari,9,No,Friday,Yes,Clear,0,117,117,Morning
2011-01-14,Spring,0,Januari,10,No,Friday,Yes,Clear,4,40,44,Morning
2011-01-14,Spring,0,Januari,11,No,Friday,Yes,Clear,6,47,53,Morning
2011-01-14,Spring,0,Januari,12,No,Friday,Yes,Clear,2,59,61,Afternoon
2011-01-14,Spring,0,Januari,13,No,Friday,Yes,Clear,4,73,77,Afternoon
2011-01-14,Spring,0,Januari,14,No,Friday,Yes,Clear,5,59,64,Afternoon
2011-01-14,Spring,0,Januari,15,No,Friday,Yes,Clear,9,59,68,Afternoon
2011-01-14,Spring,0,Januari,16,No,Friday,Yes,Clear,3,87,90,Afternoon
